LandOcc,Type,Subtype,Subsubtype,Country_CF
Raw;land;Occupation, annual crop,,, BR;;0.810935058;m2a
Raw;land;Occupation, annual crop,,, BS;;0;m2a
Raw;land;Occupation, annual crop,,, BT;;1.054013204;m2a
Raw;land;Occupation, annual crop,,, BW;;0.927714545;m2a
Raw;land;Occupation, annual crop,,, BY;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, BZ;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, CA;;1.050185997;m2a
Raw;land;Occupation, annual crop,,, CD;;0.884371483;m2a
Raw;land;Occupation, annual crop,,, CF;;0.906451125;m2a
Raw;land;Occupation, annual crop,,, CG;;0.84473427;m2a
Raw;land;Occupation, annual crop,,, CH;;0.958190543;m2a
Raw;land;Occupation, annual crop,,, CI;;0.834856142;m2a
Raw;land;Occupation, annual crop,,, CL;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, CM;;0.86923418;m2a
Raw;land;Occupation, annual crop,,, CN;;0.995603237;m2a
Raw;land;Occupation, annual crop,,, CO;;0.855864144;m2a
Raw;land;Occupation, annual crop,,, CR;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, CU;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, CV;;0.68508151;m2a
Raw;land;Occupation, annual crop,,, CW;;0;m2a
Raw;land;Occupation, annual crop,,, CY;;0.342540755;m2a
Raw;land;Occupation, annual crop,,, CZ;;1.082290134;m2a
Raw;land;Occupation, annual crop,,, DE;;1.083124472;m2a
Raw;land;Occupation, annual crop,,, Deserts and xeric shrub;;0;m2a
Raw;land;Occupation, annual crop,,, DJ;;0;m2a
Raw;land;Occupation, annual crop,,, DK;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, DM;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, DO;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, DZ;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, EC;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, EE;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, EG;;0.067660838;m2a
Raw;land;Occupation, annual crop,,, EH;;0;m2a
Raw;land;Occupation, annual crop,,, ER;;0.925617899;m2a
Raw;land;Occupation, annual crop,,, ES;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, ET;;0.906255419;m2a
Raw;land;Occupation, annual crop,,, FI;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, FJ;;0;m2a
Raw;land;Occupation, annual crop,,, FK;;0.328268224;m2a
Raw;land;Occupation, annual crop,,, Flooded grasss and savan;;0;m2a
Raw;land;Occupation, annual crop,,, FR;;1.07959775;m2a
Raw;land;Occupation, annual crop,,, GA;;0.831292662;m2a
Raw;land;Occupation, annual crop,,, GB;;1.083077999;m2a
Raw;land;Occupation, annual crop,,, GD;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, GE;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, GF;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, GG;;1.084712391;m2a
Raw;land;Occupation, annual crop,,, GH;;0.847580307;m2a
Raw;land;Occupation, annual crop,,, GI;;0.342540755;m2a
Raw;land;Occupation, annual crop,,, GLO;;1;m2a
Raw;land;Occupation, annual crop,,, GM;;0.927714545;m2a
Raw;land;Occupation, annual crop,,, GN;;0.888673404;m2a
Raw;land;Occupation, annual crop,,, GP;;0;m2a
Raw;land;Occupation, annual crop,,, GQ;;0.770716699;m2a
Raw;land;Occupation, annual crop,,, GR;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,,
Raw;land;Occupation, annual crop, greenhouse, (Sub)trop coniferous forest;;0;m2a,
Raw;land;Occupation, annual crop, greenhouse, (Sub)trop dry br.leaf forest;;0.827806825;m2a,
Raw;land;Occupation, annual crop, greenhouse, (Sub)trop grass savan & shrub;;0.927714545;m2a,
Raw;land;Occupation, annual crop, greenhouse, (Sub)trop moist br.leaf for.;;0.770716699;m2a,
Raw;land;Occupation, annual crop, greenhouse,, AD;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, AE;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, AF;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, AG;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, AI;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, AL;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, AM;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, AO;;0.927539551;m2a
Raw;land;Occupation, annual crop, greenhouse,, AR;;0.897861242;m2a
Raw;land;Occupation, annual crop, greenhouse,, AT;;0.94627046;m2a
Raw;land;Occupation, annual crop, greenhouse,, AU;;1.053114778;m2a
Raw;land;Occupation, annual crop, greenhouse,, AW;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, AX;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, AZ;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, BA;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, BB;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, BD;;0.770829121;m2a
Raw;land;Occupation, annual crop, greenhouse,, BE;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, BF;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, BG;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, BH;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, BI;;0.890566695;m2a
Raw;land;Occupation, annual crop, greenhouse,, BJ;;0.915227579;m2a
Raw;land;Occupation, annual crop, greenhouse,, BL;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, BN;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, BO;;0.792123448;m2a
Raw;land;Occupation, annual crop, greenhouse,, Boreal forest and taiga;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, BQ;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, BR;;0.810935058;m2a
Raw;land;Occupation, annual crop, greenhouse,, BS;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, BT;;1.054013204;m2a
Raw;land;Occupation, annual crop, greenhouse,, BW;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, BY;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, BZ;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, CA;;1.050185997;m2a
Raw;land;Occupation, annual crop, greenhouse,, CD;;0.884371483;m2a
Raw;land;Occupation, annual crop, greenhouse,, CF;;0.906451125;m2a
Raw;land;Occupation, annual crop, greenhouse,, CG;;0.84473427;m2a
Raw;land;Occupation, annual crop, greenhouse,, CH;;0.958190543;m2a
Raw;land;Occupation, annual crop, greenhouse,, CI;;0.834856142;m2a
Raw;land;Occupation, annual crop, greenhouse,, CL;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, CM;;0.86923418;m2a
Raw;land;Occupation, annual crop, greenhouse,, CN;;0.995603237;m2a
Raw;land;Occupation, annual crop, greenhouse,, CO;;0.855864144;m2a
Raw;land;Occupation, annual crop, greenhouse,, CR;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, CU;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, CV;;0.68508151;m2a
Raw;land;Occupation, annual crop, greenhouse,, CW;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, CY;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, CZ;;1.082290134;m2a
Raw;land;Occupation, annual crop, greenhouse,, DE;;1.083124472;m2a
Raw;land;Occupation, annual crop, greenhouse,, Deserts and xeric shrub;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, DJ;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, DK;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, DM;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, DO;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, DZ;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, EC;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, EE;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, EG;;0.067660838;m2a
Raw;land;Occupation, annual crop, greenhouse,, EH;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, ER;;0.925617899;m2a
Raw;land;Occupation, annual crop, greenhouse,, ES;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, ET;;0.906255419;m2a
Raw;land;Occupation, annual crop, greenhouse,, FI;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, FJ;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, FK;;0.328268224;m2a
Raw;land;Occupation, annual crop, greenhouse,, Flooded grasss and savan;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, FR;;1.07959775;m2a
Raw;land;Occupation, annual crop, greenhouse,, GA;;0.831292662;m2a
Raw;land;Occupation, annual crop, greenhouse,, GB;;1.083077999;m2a
Raw;land;Occupation, annual crop, greenhouse,, GD;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, GE;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, GF;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, GG;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, GH;;0.847580307;m2a
Raw;land;Occupation, annual crop, greenhouse,, GI;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, GLO;;1;m2a
Raw;land;Occupation, annual crop, greenhouse,, GM;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, GN;;0.888673404;m2a
Raw;land;Occupation, annual crop, greenhouse,, GP;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, GQ;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, GR;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, GT;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, GW;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, GY;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, HK;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, HN;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, HR;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, HT;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, HU;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, ID;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, IE;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, IL;;0.341785397;m2a
Raw;land;Occupation, annual crop, greenhouse,, IM;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, IN;;0.777530204;m2a
Raw;land;Occupation, annual crop, greenhouse,, IQ;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, IR;;1.040720907;m2a
Raw;land;Occupation, annual crop, greenhouse,, IT;;0.991489192;m2a
Raw;land;Occupation, annual crop, greenhouse,, JE;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, JM;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, JO;;0.338682736;m2a
Raw;land;Occupation, annual crop, greenhouse,, JP;;1.084461663;m2a
Raw;land;Occupation, annual crop, greenhouse,, KE;;0.877926826;m2a
Raw;land;Occupation, annual crop, greenhouse,, KG;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, KH;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, KM;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, KN;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, KP;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, KR;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, KW;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, KY;;0.68508151;m2a
Raw;land;Occupation, annual crop, greenhouse,, KZ;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, LA;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, LB;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, LC;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, LI;;0.906669335;m2a
Raw;land;Occupation, annual crop, greenhouse,, LK;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, LR;;0.771050108;m2a
Raw;land;Occupation, annual crop, greenhouse,, LS;;0.78498923;m2a
Raw;land;Occupation, annual crop, greenhouse,, LT;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, LU;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, LV;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, LY;;0.21004131;m2a
Raw;land;Occupation, annual crop, greenhouse,, MA;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, Mangroves;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, MC;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, MD;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, ME;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, Medit. forest wood. and scrub;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, MF;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, MG;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, MK;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, ML;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, MM;;0.77162675;m2a
Raw;land;Occupation, annual crop, greenhouse,, MN;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, MO;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, Montane grass and shrub;;0.78498923;m2a
Raw;land;Occupation, annual crop, greenhouse,, MQ;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, MR;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, MS;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, MT;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, MU;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, MW;;0.927639363;m2a
Raw;land;Occupation, annual crop, greenhouse,, MX;;0.83341843;m2a
Raw;land;Occupation, annual crop, greenhouse,, MY;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, MZ;;0.888057914;m2a
Raw;land;Occupation, annual crop, greenhouse,, NA;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, NC;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, NE;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, NG;;0.859681972;m2a
Raw;land;Occupation, annual crop, greenhouse,, NI;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, NL;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, NO;;0.83890587;m2a
Raw;land;Occupation, annual crop, greenhouse,, NP;;0.873844135;m2a
Raw;land;Occupation, annual crop, greenhouse,, NZ;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, OCE;;1.053433341;m2a
Raw;land;Occupation, annual crop, greenhouse,, OM;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, PA;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, PE;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, PG;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, PH;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, PK;;0.773696494;m2a
Raw;land;Occupation, annual crop, greenhouse,, PL;;1.072721564;m2a
Raw;land;Occupation, annual crop, greenhouse,, PR;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, PS;;0.342477137;m2a
Raw;land;Occupation, annual crop, greenhouse,, PT;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, PY;;0.789369914;m2a
Raw;land;Occupation, annual crop, greenhouse,, QA;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, RAF;;0.895993103;m2a
Raw;land;Occupation, annual crop, greenhouse,, RAS;;0.930132592;m2a
Raw;land;Occupation, annual crop, greenhouse,, RE;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, RER;;1.069697678;m2a
Raw;land;Occupation, annual crop, greenhouse,, RLA;;0.823921593;m2a
Raw;land;Occupation, annual crop, greenhouse,, RNA;;0.987448262;m2a
Raw;land;Occupation, annual crop, greenhouse,, RO;;1.037428936;m2a
Raw;land;Occupation, annual crop, greenhouse,, RS;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, RU;;1.081131918;m2a
Raw;land;Occupation, annual crop, greenhouse,, RW;;0.880757394;m2a
Raw;land;Occupation, annual crop, greenhouse,, SA;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, SB;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, SD;;0.92769844;m2a
Raw;land;Occupation, annual crop, greenhouse,, SE;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, SG;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, SI;;1.029847274;m2a
Raw;land;Occupation, annual crop, greenhouse,, SK;;1.027430315;m2a
Raw;land;Occupation, annual crop, greenhouse,, SL;;0.825722299;m2a
Raw;land;Occupation, annual crop, greenhouse,, SM;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, SN;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, SO;;0.822888458;m2a
Raw;land;Occupation, annual crop, greenhouse,, SR;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, SS;;0.923938187;m2a
Raw;land;Occupation, annual crop, greenhouse,, ST;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, SV;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, SX;;1;m2a
Raw;land;Occupation, annual crop, greenhouse,, SY;;0.340272616;m2a
Raw;land;Occupation, annual crop, greenhouse,, SZ;;0.837443133;m2a
Raw;land;Occupation, annual crop, greenhouse,, TC;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, TD;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, Temp br.leaf forest;;1.084712391;m2a
Raw;land;Occupation, annual crop, greenhouse,, Temp coniferous forest;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, Temp grasss savan and shrub;;0.328268224;m2a
Raw;land;Occupation, annual crop, greenhouse,, TG;;0.892510808;m2a
Raw;land;Occupation, annual crop, greenhouse,, TH;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, TJ;;0.78498923;m2a
Raw;land;Occupation, annual crop, greenhouse,, TL;;0.827806825;m2a
Raw;land;Occupation, annual crop, greenhouse,, TM;;0.78498923;m2a
Raw;land;Occupation, annual crop, greenhouse,, TN;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, TR;;1.048358148;m2a
Raw;land;Occupation, annual crop, greenhouse,, TT;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, Tundra;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, TW;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, TZ;;0.891123656;m2a
Raw;land;Occupation, annual crop, greenhouse,, UA;;1.056114961;m2a
Raw;land;Occupation, annual crop, greenhouse,, UG;;0.912736668;m2a
Raw;land;Occupation, annual crop, greenhouse,, US;;0.982679258;m2a
Raw;land;Occupation, annual crop, greenhouse,, UY;;0.927679851;m2a
Raw;land;Occupation, annual crop, greenhouse,, UZ;;0.78498923;m2a
Raw;land;Occupation, annual crop, greenhouse,, VA;;0.342540755;m2a
Raw;land;Occupation, annual crop, greenhouse,, VC;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, VE;;0.870659308;m2a
Raw;land;Occupation, annual crop, greenhouse,, VG;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, VI;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, VN;;0.770716699;m2a
Raw;land;Occupation, annual crop, greenhouse,, VU;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, WF;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, YE;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, YT;;0;m2a
Raw;land;Occupation, annual crop, greenhouse,, ZA;;0.873196726;m2a
Raw;land;Occupation, annual crop, greenhouse,, ZM;;0.927714545;m2a
Raw;land;Occupation, annual crop, greenhouse,, ZW;;0.927714545;m2a
Raw;land;Occupation, annual crop, GT;;0.770716699;m2a,,
Raw;land;Occupation, annual crop, GW;;0.927714545;m2a,,
Raw;land;Occupation, annual crop, GY;;0.770716699;m2a,,
Raw;land;Occupation, annual crop, HK;;0.770716699;m2a,,
Raw;land;Occupation, annual crop, HN;;0.770716699;m2a,,
Raw;land;Occupation, annual crop, HR;;1.084712391;m2a,,
Raw;land;Occupation, annual crop, HT;;0.770716699;m2a,,
Raw;land;Occupation, annual crop, HU;;1.084712391;m2a,,
Raw;land;Occupation, annual crop, ID;;0.770716699;m2a,,
Raw;land;Occupation, annual crop, IE;;1.084712391;m2a,,
Raw;land;Occupation, annual crop, IL;;0.341785397;m2a,,
Raw;land;Occupation, annual crop, IM;;1.084712391;m2a,,
Raw;land;Occupation, annual crop, IN;;0.777530204;m2a,,
Raw;land;Occupation, annual crop, IQ;;1.084712391;m2a,,
Raw;land;Occupation, annual crop, IR;;1.040720907;m2a,,
Raw;land;Occupation, annual crop, irrigated,,
Raw;land;Occupation, annual crop, irrigated, (Sub)trop coniferous forest;;0;m2a,
Raw;land;Occupation, annual crop, irrigated, (Sub)trop dry br.leaf forest;;0.827806825;m2a,
Raw;land;Occupation, annual crop, irrigated, (Sub)trop grass savan & shrub;;0.927714545;m2a,
Raw;land;Occupation, annual crop, irrigated, (Sub)trop moist br.leaf for.;;0.770716699;m2a,
Raw;land;Occupation, annual crop, irrigated,, AD;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, AE;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, AF;;0.770716699;m2a
Raw;land;Occupation, annual crop, irrigated,, AG;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, AI;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, AL;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, AM;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, AO;;0.927539551;m2a
Raw;land;Occupation, annual crop, irrigated,, AR;;0.897861242;m2a
Raw;land;Occupation, annual crop, irrigated,, AT;;0.94627046;m2a
Raw;land;Occupation, annual crop, irrigated,, AU;;1.053114778;m2a
Raw;land;Occupation, annual crop, irrigated,, AW;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, AX;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, AZ;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, BA;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, BB;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, BD;;0.770829121;m2a
Raw;land;Occupation, annual crop, irrigated,, BE;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, BF;;0.927714545;m2a
Raw;land;Occupation, annual crop, irrigated,, BG;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, BH;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, BI;;0.890566695;m2a
Raw;land;Occupation, annual crop, irrigated,, BJ;;0.915227579;m2a
Raw;land;Occupation, annual crop, irrigated,, BL;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, BN;;0.770716699;m2a
Raw;land;Occupation, annual crop, irrigated,, BO;;0.792123448;m2a
Raw;land;Occupation, annual crop, irrigated,, Boreal forest and taiga;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, BQ;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, BR;;0.810935058;m2a
Raw;land;Occupation, annual crop, irrigated,, BS;;0;m2a
Raw;land;Occupation, annual crop, irrigated,, BT;;1.054013204;m2a
Raw;land;Occupation, annual crop, irrigated,, BW;;0.927714545;m2a
Raw;land;Occupation, annual crop, irrigated,, BY;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, BZ;;0.770716699;m2a
Raw;land;Occupation, annual crop, irrigated,, CA;;1.050185997;m2a
Raw;land;Occupation, annual crop, irrigated,, CD;;0.884371483;m2a
Raw;land;Occupation, annual crop, irrigated,, CF;;0.906451125;m2a
Raw;land;Occupation, annual crop, irrigated,, CG;;0.84473427;m2a
Raw;land;Occupation, annual crop, irrigated,, CH;;0.958190543;m2a
Raw;land;Occupation, annual crop, irrigated,, CI;;0.834856142;m2a
Raw;land;Occupation, annual crop, irrigated,, CL;;1.084712391;m2a
Raw;land;Occupation, annual crop, irrigated,, CM;;0.86923418;m2a
Raw;land;Occupation, annual crop, irrigated,, CN;;0.995603237;m2a
Raw;land;Occupation, annual crop, irrigated,, CO;;0.855864144;m2a
Raw;land;Occupation, annual crop, irrigated,, CR;;0.770716699;m2a
Raw;land;Occupation, annual crop, irrigated,, CU;;0.770716699;m2a
Raw;land;Occupation, annual crop, irrigated,, CV;;0.68508151;m2a
Raw;land;Occupation, annual crop, irrigated,, CW;;0;m2a
